x_1 y_1 x_2 y_2
316 266 214 266
398 279 305 279
549 322 476 322
237 350 135 350
183 265 68 265
559 313 486 313
587 284 514 284
280 291 177 291
433 266 342 266
369 320 278 320
615 321 549 321
172 295 59 295
159 246 39 246
468 334 388 334
132 339 19 339
429 330 344 330
494 327 416 327
382 255 286 255
295 265 191 265
621 324 555 324
602 273 530 273
561 281 485 281
571 332 502 332
194 300 84 300
588 330 519 330
461 302 377 302
578 307 506 307
176 279 61 279
632 288 564 288
540 329 467 329
425 288 336 288
474 315 393 315
405 268 312 268
498 325 420 325
517 275 436 275
204 350 100 350
514 324 437 324
570 277 495 277
529 310 452 310
359 295 265 295
525 274 445 274
465 308 382 308
368 298 275 298
224 314 118 314
474 306 392 306
344 294 248 294
511 323 434 323
458 281 372 281
246 267 137 267
331 251 229 251
569 289 495 289
465 287 381 287
362 334 271 334
541 314 466 314
554 287 478 287
161 251 43 251
550 300 475 300
619 308 552 308
315 297 216 297
371 335 282 335
291 314 191 314
348 313 253 313
374 267 278 267
491 310 411 310
580 275 505 275
367 326 276 326
218 338 113 338
395 274 301 274
580 325 510 325
513 294 433 294
403 303 313 303
626 302 559 302
351 334 260 334
585 288 512 288
551 335 480 335
392 340 305 340
314 255 211 255
517 294 438 294
244 287 137 287
617 327 551 327
540 273 461 273
471 272 385 272
305 250 200 250
186 345 79 345
602 323 534 323
548 323 475 323
487 334 409 334
374 260 277 260
242 294 135 294
345 318 251 318
336 303 308 303
268 299 239 299
292 290 263 290
417 301 392 301
384 288 358 288
334 313 306 313
403 293 377 293
393 298 367 298
268 312 239 312
397 293 371 293
